area_code,area_name,year,sales_amount,sales_transactions,store_count,sales_per_store,sales_change_2021_2025
3110495,북가좌2동주민센터,2023,16431806478.0,679148.0,59.25,277330067.1392405,0.2578221749607805
3110495,북가좌2동주민센터,2024,15635294629.0,665932.0,59.25,263886829.1814346,0.2578221749607805
3110495,북가좌2동주민센터,2025,14689174842.0,610053.0,65.0,225987305.26153848,0.2578221749607805
3110496,모래내우체국,2021,3002751471.0,141989.0,30.75,97650454.34146342,0.7529314982725055
3110496,모래내우체국,2022,4320504099.0,284374.0,38.25,112954355.52941176,0.7529314982725055
3110496,모래내우체국,2023,5973618676.0,357875.0,38.0,157200491.47368422,0.7529314982725055
3110496,모래내우체국,2024,5640953000.0,345796.0,40.0,141023825.0,0.7529314982725055
3110496,모래내우체국,2025,5263617635.0,333317.0,48.25,109090520.93264249,0.7529314982725055
3110498,증산역 1번,2021,6449679578.0,217112.0,25.5,252928610.9019608,-0.046280140027136096
3110498,증산역 1번,2022,6958170845.0,179685.0,27.0,257710031.2962963,-0.046280140027136096
3110498,증산역 1번,2023,6723941274.0,166091.0,28.25,238015620.31858408,-0.046280140027136096
3110498,증산역 1번,2024,6304406824.0,173555.0,34.0,185423730.11764705,-0.046280140027136096
3110498,증산역 1번,2025,6151187504.0,141221.0,36.0,170866319.55555555,-0.046280140027136096
3110499,연가초등학교,2021,420464395.0,13730.0,11.0,38224035.90909091,0.0031153886406958264
3110499,연가초등학교,2022,552309674.0,17340.0,13.0,42485359.538461536,0.0031153886406958264
3110499,연가초등학교,2023,535806634.0,14779.0,12.75,42024049.7254902,0.0031153886406958264
3110499,연가초등학교,2024,414389871.0,8200.0,11.75,35267223.06382979,0.0031153886406958264
3110499,연가초등학교,2025,421774305.0,9706.0,18.5,22798611.08108108,0.0031153886406958264
3120098,DMC(디지털미디어시티),2021,88240899987.0,6577903.0,269.5,327424489.7476809,0.04557541188487968
3120098,DMC(디지털미디어시티),2022,94146820457.0,6814208.0,277.25,339573743.75834084,0.04557541188487968
3120098,DMC(디지털미디어시티),2023,99187020673.0,6939981.0,289.75,342319312.07247627,0.04557541188487968
3120098,DMC(디지털미디어시티),2024,89432520497.0,6463342.0,296.75,301373278.8441449,0.04557541188487968
3120098,DMC(디지털미디어시티),2025,92262515349.0,6315581.0,431.5,213818112.04866743,0.04557541188487968
3130161,증산종합시장,2021,1270924917.0,34134.0,11.75,108163822.72340426,0.27334736250198177
3130161,증산종합시장,2022,1376060559.0,36424.0,12.25,112331474.20408164,0.27334736250198177
3130161,증산종합시장,2023,1129921080.0,33226.0,13.0,86917006.15384616,0.27334736250198177
3130161,증산종합시장,2024,1697996548.0,52965.0,14.0,121285467.71428572,0.27334736250198177
3130161,증산종합시장,2025,1618328891.0,46400.0,13.5,119876214.14814815,0.27334736250198177
3130162,증산골목시장,2021,308809367.0,9915.0,6.0,51468227.833333336,
3130162,증산골목시장,2022,284022424.0,9292.0,6.0,47337070.666666664,
3130162,증산골목시장,2023,0.0,0.0,0.0,,
3130163,응암오거리상점가,2021,13109581292.0,414661.0,92.75,141343194.52291104,0.6559199289795288
3130163,응암오거리상점가,2022,17511140369.0,429752.0,93.0,188291831.9247312,0.6559199289795288
3130163,응암오거리상점가,2023,21715305676.0,495937.0,92.5,234760061.36216217,0.6559199289795288
3130163,응암오거리상점가,2024,22300815722.0,489538.0,99.5,224128801.22613066,0.6559199289795288
3130163,응암오거리상점가,2025,21708416922.0,476426.0,118.25,183580692.78646934,0.6559199289795288
3130165,"대림골목시장(대림시장, 양지시장)",2021,3913271696.0,166591.0,36.75,106483583.56462584,0.5545336696703516
3130165,"대림골목시장(대림시장, 양지시장)",2022,4299231385.0,152031.0,37.75,113886924.10596026,0.5545336696703516
3130165,"대림골목시장(대림시장, 양지시장)",2023,5018762715.0,192525.0,40.75,123159821.22699386,0.5545336696703516
3130165,"대림골목시장(대림시장, 양지시장)",2024,5666332859.0,225416.0,46.5,121856620.62365592,0.5545336696703516
3130165,"대림골목시장(대림시장, 양지시장)",2025,6083312610.0,261309.0,50.5,120461635.84158416,0.5545336696703516
