feature,target_2021,controls_mean_2021,difference,standardized_mean_difference,control_min,control_max
total_stores,54.5,47.964285714285715,6.535714285714285,1.8602902899274583,42.5,57.5
total_sales,1659024375.0,2524949406.0,-865925031.0,-1.818314670860929,1729517043.0,3625937212.0
korean_sales_share,0.637824508154077,0.6638879223374278,-0.026063414183350786,-0.7809177734092142,0.6033532145466765,0.7385443506107595
total_transactions,73080.0,99771.14285714286,-26691.142857142855,-1.6417285708089653,76241.0,145181.0
sales_per_store,30440814.220183488,52157031.098378316,-21716216.878194828,-2.9809690258528323,35844912.808290154,71447038.66009852
