year,area_code,industry_code,area_name,area_type,industry_name,sales_amount,sales_transactions,store_count,open_count,close_count,observed_quarters,year_end_store_count,complete_year,sales_per_store,net_entry_count,net_entry_rate,transactions_per_store,sales_per_transaction,sales_2022,transactions_2022,stores_2022,sales_index_2022_100,transactions_index_2022_100,store_index_2022_100
2021,3110091,CS100001,리움미술관,골목상권,한식음식점,,,,,,1,,False,,,,,,3239171920.0,70089.0,3.0,,,
2021,3110091,CS100003,리움미술관,골목상권,일식음식점,1858509036.0,9409.0,3.0,1.0,0.0,4,3.0,True,619503012.0,1.0,0.3333333333333333,3136.3333333333335,197524.60792857903,2053408075.0,12018.0,3.0,90.50850917687173,78.29089698785155,100.0
2021,3110091,CS100004,리움미술관,골목상권,양식음식점,1581862021.0,54709.0,11.25,1.0,3.0,4,10.0,True,140609957.42222223,-2.0,-0.1777777777777777,4863.022222222222,28914.109579776636,740802561.0,29044.0,7.0,213.53355189062313,188.36592755818756,160.71428571428572
2021,3110091,CS100010,리움미술관,골목상권,커피-음료,1198271899.0,88864.0,7.75,2.0,0.0,4,9.0,True,154615728.9032258,2.0,0.2580645161290322,11466.322580645161,13484.334477403672,2283683554.0,170999.0,8.25,52.471013197128805,51.96755536582085,93.93939393939394
2022,3110091,CS100001,리움미술관,골목상권,한식음식점,3239171920.0,70089.0,3.0,0.0,0.0,4,3.0,True,1079723973.3333333,0.0,0.0,23363.0,46215.12534063833,3239171920.0,70089.0,3.0,100.0,100.0,100.0
2022,3110091,CS100003,리움미술관,골목상권,일식음식점,2053408075.0,12018.0,3.0,0.0,0.0,4,3.0,True,684469358.3333334,0.0,0.0,4006.0,170861.04801131636,2053408075.0,12018.0,3.0,100.0,100.0,100.0
2022,3110091,CS100004,리움미술관,골목상권,양식음식점,740802561.0,29044.0,7.0,0.0,3.0,4,7.0,True,105828937.28571428,-3.0,-0.4285714285714285,4149.142857142857,25506.21680897948,740802561.0,29044.0,7.0,100.0,100.0,100.0
2022,3110091,CS100010,리움미술관,골목상권,커피-음료,2283683554.0,170999.0,8.25,2.0,3.0,4,8.0,True,276810127.75757575,-1.0,-0.1212121212121212,20727.151515151516,13354.952683933825,2283683554.0,170999.0,8.25,100.0,100.0,100.0
2023,3110091,CS100001,리움미술관,골목상권,한식음식점,3877736649.0,80476.0,3.0,0.0,0.0,4,3.0,True,1292578883.0,0.0,0.0,26825.333333333332,48185.00731895224,3239171920.0,70089.0,3.0,119.71382639671685,114.81972920144388,100.0
2023,3110091,CS100003,리움미술관,골목상권,일식음식점,1314334848.0,9875.0,3.0,0.0,0.0,4,3.0,True,438111616.0,0.0,0.0,3291.6666666666665,133097.19979746835,2053408075.0,12018.0,3.0,64.00748414316038,82.16841404559827,100.0
2023,3110091,CS100004,리움미술관,골목상권,양식음식점,649440034.0,27746.0,7.0,0.0,0.0,4,7.0,True,92777147.71428572,0.0,0.0,3963.714285714286,23406.618395444388,740802561.0,29044.0,7.0,87.66708812714269,95.53091860625258,100.0
2023,3110091,CS100010,리움미술관,골목상권,커피-음료,1802336998.0,129174.0,8.75,1.0,1.0,4,8.0,True,205981371.2,0.0,0.0,14762.742857142857,13952.784600616224,2283683554.0,170999.0,8.25,78.92236185013924,75.54079263621425,106.06060606060606
2024,3110091,CS100001,리움미술관,골목상권,한식음식점,3461610135.0,68243.0,3.0,0.0,0.0,4,3.0,True,1153870045.0,0.0,0.0,22747.666666666668,50724.76495757807,3239171920.0,70089.0,3.0,106.86713210949297,97.36620582402374,100.0
2024,3110091,CS100003,리움미술관,골목상권,일식음식점,1077041589.0,9448.0,3.0,1.0,1.0,4,3.0,True,359013863.0,0.0,0.0,3149.3333333333335,113996.78122353938,2053408075.0,12018.0,3.0,52.45141489959321,78.61541021800632,100.0
2024,3110091,CS100004,리움미술관,골목상권,양식음식점,427001102.0,16405.0,8.0,1.0,0.0,4,8.0,True,53375137.75,1.0,0.125,2050.625,26028.716976531545,740802561.0,29044.0,7.0,57.64033826011571,56.483266767662855,114.28571428571428
2024,3110091,CS100010,리움미술관,골목상권,커피-음료,1586551281.0,110367.0,8.25,2.0,1.0,4,9.0,True,192309246.1818182,1.0,0.1212121212121212,13377.818181818182,14375.23246078991,2283683554.0,170999.0,8.25,69.47334179558575,64.54248270457722,100.0
2025,3110091,CS100001,리움미술관,골목상권,한식음식점,2715889412.0,55518.0,3.0,0.0,0.0,4,3.0,True,905296470.6666666,0.0,0.0,18506.0,48919.07871321013,3239171920.0,70089.0,3.0,83.84517645485145,79.21071780165218,100.0
2025,3110091,CS100003,리움미술관,골목상권,일식음식점,806968748.0,8045.0,3.0,0.0,0.0,4,3.0,True,268989582.6666667,0.0,0.0,2681.6666666666665,100306.86737103791,2053408075.0,12018.0,3.0,39.29899554914334,66.94125478448993,100.0
2025,3110091,CS100004,리움미술관,골목상권,양식음식점,265348527.0,10171.0,8.0,0.0,0.0,4,8.0,True,33168565.875,0.0,0.0,1271.375,26088.735325926653,740802561.0,29044.0,7.0,35.81906178102427,35.019281090758845,114.28571428571428
2025,3110091,CS100010,리움미술관,골목상권,커피-음료,1047182873.0,69971.0,8.25,0.0,1.0,4,8.0,True,126931257.33333333,-1.0,-0.1212121212121212,8481.333333333334,14965.955510139915,2283683554.0,170999.0,8.25,45.85499033637127,40.9189527424137,100.0
