year,sales_amount,sales_transactions,weekday_sales,weekend_sales,weekend_sales_share,evening_sales_share,night_sales_share,female_sales_share
2022,8317066110,282150,5122688949,3194377161,0.38407499937498996,0.4660036268486508,0.058713157926311106,0.51580975698172
2023,7643848529,247271,4755019095,2888829434,0.37792866028677424,0.4425888435864373,0.04988073528059311,0.5178993446797014
2024,6552204107,204463,4014686265,2537517842,0.38727698352514095,0.4548212228029117,0.06112447009581535,0.5077183254175449
2025,4835389560,143705,2998874486,1836515074,0.3798070561247603,0.45009882430237946,0.05020423835303148,0.5056970268182488
