industry_code,sales_2022,transactions_2022,stores_2022,industry_name,sales_2025,transactions_2025,stores_2025,sales_change_2022_2025,share_of_observed_sales_loss
CS100003,2053408075.0,12018.0,3.0,일식음식점,806968748.0,8045.0,3.0,-1246439327.0,0.357999747851362
CS100010,2283683554.0,170999.0,8.25,커피-음료,1047182873.0,69971.0,8.25,-1236500681.0,0.35514519032504616
CS100001,3239171920.0,70089.0,3.0,한식음식점,2715889412.0,55518.0,3.0,-523282508.0,0.15029612903013637
CS100004,740802561.0,29044.0,7.0,양식음식점,265348527.0,10171.0,8.0,-475454034.0,0.1365589327934555
