event_date,event,category,source,status,use_in_analysis
2022-03-02,아트스펙트럼 2022,leeum_program,https://www.leeumhoam.org/leeum/edu/publication/28?params=Y,date_verified,Exhibition/program timing only; no visitor count supplied
2022-09-02,구름산책자,leeum_program,https://www.leeumhoam.org/leeum/exhibition/53?params=Y,date_verified,Exhibition timing only; no visitor count supplied
