scope,sales_2022,sales_2025,transactions_2022,transactions_2025,stores_2022,stores_2025,log_sales_change,log_store_effect,log_transactions_per_store_effect,log_sales_per_transaction_effect,decomposition_residual
leeum,8317066110.0,4835389560.0,282150.0,143705.0,21.25,22.25,-0.5423478651373229,0.04598511324182344,-0.7206613704661113,0.13232839208696495,0.0
seoul_same_industries,18266111766729.0,20262512571778.0,762764649.0,778524241.0,67335.25,82292.0,0.10372498041652056,0.20059002393748482,-0.18013942398089589,0.08327438045993185,-2.220446049250313e-16
matched_controls,68303541857.0,57713645700.0,3925569.0,3208425.0,332.25,450.25,-0.1684679830942115,0.30391528646271077,-0.5056464328169274,0.033263163260005044,1.3877787807814457e-16
