area_code,area_name,area_type,total_sales,total_transactions,total_stores,japanese_share,western_share,coffee_share,sales_per_store,matching_distance,selection,district,administrative_dong
3110091,리움미술관,골목상권,8317066110.0,282150.0,21.25,0.24689091656144116,0.08907017825784723,0.2745780211190362,391391346.35294116,0.0,target,용산구,한남동
3110900,낙성대역 1번(관악구민 종합체육센터),골목상권,7828208789.0,398876.0,34.0,0.2298306928818937,0.0,0.050908980296999584,230241434.97058824,1.8831475067687946,same area type; nearest 2022 feature distance,관악구,인헌동
3110180,광진정보도서관,골목상권,12200641803.0,402832.0,44.25,0.20013700184195138,0.0,0.2684993183878656,275720718.7118644,2.1586536515145345,same area type; nearest 2022 feature distance,광진구,광장동
3110513,연희파출소,골목상권,6232401686.0,168416.0,26.25,0.17543523172713552,0.0,0.0917074450261934,237424826.13333333,2.959050674266575,same area type; nearest 2022 feature distance,서대문구,연희동
3110999,윗방죽마을공원,골목상권,7328823784.0,635055.0,22.25,0.164928056346347,0.0,0.3410024749750485,329385338.60674155,3.1173266907283925,same area type; nearest 2022 feature distance,강남구,세곡동
3110840,중앙대학교,골목상권,24134265144.0,1828251.0,88.0,0.16886094147404218,0.025102180877904754,0.11537661496572477,274253013.0,3.6210067943496274,same area type; nearest 2022 feature distance,동작구,흑석동
3110722,G타워,골목상권,1938646747.0,65482.0,13.75,0.3305311759306297,0.0,0.14855723480601699,140992490.6909091,3.7337938723822037,same area type; nearest 2022 feature distance,구로구,구로3동
3110562,연트럴파크(연남동주민센터),골목상권,8640553904.0,426657.0,103.75,0.1705475048674611,0.07902312138622357,0.497094977442548,83282447.26746988,3.79218908818896,same area type; nearest 2022 feature distance,마포구,연남동
