feature,target_2022,controls_mean_2022,difference,control_std,standardized_difference
total_sales,8317066110.0,9757648836.714285,-1440582726.714285,6514700994.738446,-0.22112798851056428
total_transactions,282150.0,560795.5714285715,-278645.5714285715,545162.96149706,-0.5111234458470711
total_stores,21.25,47.464285714285715,-26.214285714285715,32.12765513525374,-0.8159414561668625
sales_per_store,391391346.35294116,224471467.05441523,166919879.29852593,78572777.36555296,2.1243983590136546
japanese_share,0.24689091656144116,0.20575294358135152,0.04113797298008964,0.05524899725729982,0.7445922102170688
western_share,0.08907017825784723,0.01487504318058976,0.07419513507725747,0.027583392599476547,2.6898480601934907
coffee_share,0.2745780211190362,0.21616386370005666,0.05841415741897951,0.14869588896545058,0.3928431231380715
