industry_code,industry_name,sales_2021,sales_2022,sales_2023,sales_2024,sales_2025,complete_2021,complete_2022,complete_2023,complete_2024,complete_2025,change_2021_2025,change_2021_2025_usable,change_2022_2025,change_2022_2025_usable,interpretation
CS100001,한식음식점,,3239171920.0,3877736649.0,3461610135.0,2715889412.0,False,True,True,True,True,,False,-0.16154823545148544,True,2021 endpoint is incomplete; do not calculate or narrate a 2021→2025 change for this industry.
CS100003,일식음식점,1858509036.0,2053408075.0,1314334848.0,1077041589.0,806968748.0,True,True,True,True,True,-0.5657977807109247,True,-0.6070100445085665,True,"2021→2025 is a valid industry-specific endpoint comparison, but it answers a different question from the 2022-base charts."
CS100004,양식음식점,1581862021.0,740802561.0,649440034.0,427001102.0,265348527.0,True,True,True,True,True,-0.8322555801470879,True,-0.6418093821897572,True,"2021→2025 is a valid industry-specific endpoint comparison, but it answers a different question from the 2022-base charts."
CS100010,커피-음료,1198271899.0,2283683554.0,1802336998.0,1586551281.0,1047182873.0,True,True,True,True,True,-0.1260891005840069,True,-0.5414500966362873,True,"2021→2025 is a valid industry-specific endpoint comparison, but it answers a different question from the 2022-base charts."
