group,year,equal_weight_mean_index,equal_weight_median_index,areas
independent_neighbors_equal_weight,2021,92.68331099958507,93.94046585804169,5
independent_neighbors_equal_weight,2022,100.0,100.0,5
independent_neighbors_equal_weight,2023,102.46197750558072,103.53095163644812,5
independent_neighbors_equal_weight,2024,110.93807814811014,108.17768871662874,5
independent_neighbors_equal_weight,2025,104.07458019268067,100.57038793818487,5
leeum,2021,67.14926026006555,67.14926026006555,1
leeum,2022,100.0,100.0,1
leeum,2023,92.85835741617043,92.85835741617043,1
leeum,2024,86.80293909086296,86.80293909086296,1
leeum,2025,73.20440717219464,73.20440717219464,1
