area_code,quarter,quarter_label,outcome_residual,food_sales_yoy_log_change_lag1_residual,floating_population_yoy_log_change_residual
3001491,20222,2022Q2,0.08157040605571697,0.15531314999765197,0.18492657387685715
3001491,20223,2022Q3,0.09902004818564884,0.3963068340709143,0.22181270800087252
3001491,20224,2022Q4,0.05214312173242792,0.5485081705513497,0.015520202331306928
3001491,20231,2023Q1,-0.06430482544483716,-0.07266043145116888,-0.012920334378793405
3001491,20232,2023Q2,0.06436466109522755,-0.09884286013446758,-0.080221032094345
3001491,20233,2023Q3,0.03187610012813434,-0.3741402401491276,-0.11273469652828846
3001491,20234,2023Q4,0.1424054410751314,-0.379616977739266,-0.05241417807449871
3001491,20241,2024Q1,0.17824542926195105,-0.009850865616280105,0.034166099598620964
3001491,20242,2024Q2,-0.10063244564631157,0.07883090477045393,-0.021434965311284398
3001491,20243,2024Q3,-0.003272703483214861,-0.0532195845657914,-0.029242420181171302
3001491,20244,2024Q4,0.018996399059404482,-0.05832756397160946,-0.005105899883468906
3001491,20251,2025Q1,-0.19874339189146217,-0.036136174870397504,-0.054739320946479944
3001491,20252,2025Q2,0.041538188369496166,-0.052770629688766515,-0.058163914477655954
3001491,20253,2025Q3,-0.3031227781816841,-0.0349997881222572,-0.02884998151577792
3001491,20254,2025Q4,-0.04008365031560263,-0.008393943081182624,-0.000598840415889468
3001492,20222,2022Q2,0.07416653904658699,-0.0695850023017923,0.10990712814502526
3001492,20223,2022Q3,-0.015570399867694585,-0.003530050972114931,0.17985718701059145
3001492,20224,2022Q4,0.10682882107477018,0.09778137387638598,0.10570990559689668
3001492,20231,2023Q1,0.057853076191675165,0.04812789402178964,0.15459541618386272
3001492,20232,2023Q2,0.013973434615012435,0.09470060823958104,-0.011839714439524399
3001492,20233,2023Q3,0.015730742129591444,-0.06099316256332105,-0.0799287408916269
3001492,20234,2023Q4,-0.09753141735536032,-0.08167636564135393,-0.09958476777576032
3001492,20241,2024Q1,-0.06063891244031489,-0.06028255146861604,-0.11464622739212636
3001492,20242,2024Q2,0.023850164163926237,-0.08086652805798425,-0.06283860449508438
3001492,20243,2024Q3,0.028185404428830742,-0.05089886437378288,-0.014571678556531107
3001492,20244,2024Q4,-0.02708520537403061,0.09777813439027579,0.011076921879647544
3001492,20251,2025Q1,-0.09641379178709043,0.04575457988626134,-0.018942029981102598
3001492,20252,2025Q2,-0.040201442336991404,0.03898697949762474,-0.05589630497932014
3001492,20253,2025Q3,-0.054012991473313496,0.03978664919442341,-0.03573997291313695
3001492,20254,2025Q4,0.07086597898442877,-0.05508369372732152,-0.06715851739180635
3001493,20222,2022Q2,-0.332833151857668,0.040380223770367034,0.017941285357482396
3001493,20223,2022Q3,0.041801142858273736,0.024113075983134745,0.040931634930950735
3001493,20224,2022Q4,0.0677357345941954,0.031072985305771024,0.01423578442884772
3001493,20231,2023Q1,-0.08166210700948813,-0.01856994311266343,0.06127428815061017
3001493,20232,2023Q2,0.006303501023149093,0.06223595839226683,0.008862212489603059
3001493,20233,2023Q3,-0.1881494095926851,0.030500303652742467,-0.024826942596916143
3001493,20234,2023Q4,-0.21213876251069733,-0.035753638796966775,0.017925712104976926
3001493,20241,2024Q1,-0.042595031440752565,-0.05430903818861409,-0.017008877500315055
3001493,20242,2024Q2,-0.1492097003456291,-0.035547139276354583,0.03936385241897142
3001493,20243,2024Q3,-0.0010797663688215328,-0.061964711130678085,0.020035324081048737
3001493,20244,2024Q4,-0.08614542610058364,-0.03259144442097685,-0.010148796735898876
3001493,20251,2025Q1,0.011864226590607081,0.05360516802793228,-0.023363019498835798
3001493,20252,2025Q2,0.14230288826938367,0.0024813448835576965,-0.04045177128205564
3001493,20253,2025Q3,0.4921208040653345,-0.025411131383373604,-0.032072908784677175
3001493,20254,2025Q4,0.33168505782540814,0.01975798629391036,-0.07269777756378837
3001494,20222,2022Q2,0.21733681261055574,-0.03163308664831774,0.030539527685493662
3001494,20223,2022Q3,-0.09738880920845552,0.07111026858359557,0.08587687951730846
3001494,20224,2022Q4,0.05941909142776009,0.24313024399059374,0.024749077787026636
3001494,20231,2023Q1,-0.02879424384851443,0.11932871860661719,0.07712388780636306
3001494,20232,2023Q2,-0.09879406203142414,0.22072235385790678,-0.024337502202350123
3001494,20233,2023Q3,-0.00846931096860988,-0.019654166191551747,-0.020761306483577303
3001494,20234,2023Q4,-0.05033021059572848,-0.015754802754118672,-0.028455594884811454
3001494,20241,2024Q1,-0.0018793966581886583,-0.05632866543412073,-0.0327461305586552
3001494,20242,2024Q2,-0.017084561340147294,-0.10485069739627643,-0.024669496093567885
3001494,20243,2024Q3,0.06861403916830873,-0.08646950885673,-0.044003087608375215
3001494,20244,2024Q4,0.024010345916480193,-0.10998865938036256,-0.02149777946319416
3001494,20251,2025Q1,-0.0062375856085620865,-0.06398574078897032,-0.033529416053278416
3001494,20252,2025Q2,-0.03969260838076967,-0.057046977673826,-0.00268967616982862
3001494,20253,2025Q3,-0.12208908159231348,-0.06442021696005389,0.02372936697357932
3001494,20254,2025Q4,0.10137958110963513,-0.044159062954330114,-0.009328750252128697
3001495,20222,2022Q2,-5.332709640297264,-0.09987477059076491,0.13230885168070444
3001495,20223,2022Q3,-4.364951754118118,0.035599703406699906,0.08596464062416669
3001495,20224,2022Q4,-4.025739176704746,0.05084198415801566,0.030639000853462398
3001495,20231,2023Q1,4.823080530002286,-0.10354928653557224,0.07896886664906298
3001495,20232,2023Q2,0.16145487953318452,0.0455935600528422,-0.01827397610101987
3001495,20233,2023Q3,-0.8268130726205504,-0.20739782088388808,-0.03043901349687089
3001495,20234,2023Q4,3.8081029525632664,-0.09007620809982632,-0.03936336814093164
3001495,20241,2024Q1,-0.42909471797333965,0.07783243522178139,-0.06201019527053272
3001495,20242,2024Q2,4.296974495082981,0.05006635957945509,-0.020658100065355803
3001495,20243,2024Q3,4.474846989442612,0.17708269811712837,-0.01576053285175881
3001495,20244,2024Q4,-0.49548261576524144,0.11898678656580401,-0.025234960405480955
3001495,20251,2025Q1,-0.46832438247002756,-0.0019529627262364067,-0.015985992845139175
3001495,20252,2025Q2,-0.4318206033768259,0.00300272565218991,-0.037782238485889456
3001495,20253,2025Q3,-0.6660476566297172,0.015501067649181957,-0.053935430533000026
