area_code,area_name,quarter,quarter_index,food_sales,food_transactions,target_sales,target_transactions,floating_population,food_sales_yoy_log_change,target_sales_yoy_log_change,floating_population_yoy_log_change,food_sales_yoy_log_change_lag1,quarter_label,target_code,target_industry
3001491,이태원 관광특구,20211,8085,28213561606.0,1073494.0,8523004316.0,62319.0,1747889.0,,,,,2021Q1,CS300011,일반의류
3001491,이태원 관광특구,20212,8086,38353279125.0,1420337.0,11059029565.0,95481.0,1885158.0,,,,,2021Q2,CS300011,일반의류
3001491,이태원 관광특구,20213,8087,31142226994.0,1267908.0,10031694591.0,82917.0,1798028.0,,,,,2021Q3,CS300011,일반의류
3001491,이태원 관광특구,20214,8088,47791677188.0,1671097.0,14427575350.0,107452.0,2066443.0,,,,,2021Q4,CS300011,일반의류
3001491,이태원 관광특구,20221,8089,37329377449.0,1309562.0,11122603029.0,89297.0,1985776.0,0.2799778454661482,0.26621044883596984,0.1276009956621812,,2022Q1,CS300011,일반의류
3001491,이태원 관광특구,20222,8090,71017051327.0,2305327.0,13889683953.0,118094.0,2338737.0,0.6160799783698154,0.22789915346583126,0.21559940304990807,0.2799778454661482,2022Q2,CS300011,일반의류
3001491,이태원 관광특구,20223,8091,73054339841.0,2477507.0,13068773920.0,105174.0,2331804.0,0.852638866226094,0.264476174567261,0.2599517081416635,0.6160799783698154,2022Q3,CS300011,일반의류
3001491,이태원 관광특구,20224,8092,53448967169.0,1793979.0,15722266890.0,124007.0,2161642.0,0.11187580704149333,0.08593665054871213,0.045039346367200334,0.852638866226094,2022Q4,CS300011,일반의류
3001491,이태원 관광특구,20231,8093,45660134888.0,1622265.0,13931564881.0,102420.0,2014294.0,0.20144497945517673,0.22517777362053723,0.01425899206044924,0.11187580704149333,2023Q1,CS300011,일반의류
3001491,이태원 관광특구,20232,8094,53497487420.0,1902372.0,15565611577.0,113847.0,2169881.0,-0.283285319055879,0.11391769198654218,-0.0749387127268669,0.20144497945517673,2023Q2,CS300011,일반의류
