area_code,area_name,year,sales_amount,transactions,floating_population,average_ticket,sales_amount_index_2022_100,transactions_index_2022_100,floating_population_index_2022_100,average_ticket_index_2022_100
3110091,리움미술관,2022,8698177495,284083,200030.5,30618.437199691638,100.0,100.0,100.0,100.0
3110091,리움미술관,2023,8076984747,250778,214204.25,32207.708598840407,92.85835741617043,88.27631361257097,107.0857944163515,105.19056994576057
3110091,리움미술관,2024,7550273713,212159,235603.0,35587.807790383624,86.80293909086296,74.68204714819261,117.7835380104534,116.22999422956191
3110091,리움미술관,2025,6367449270,150840,244494.0,42213.26750198886,73.20440717219464,53.09715822488498,122.2283601750733,137.86878548593592
3120005,삼청동,2022,79774066909,3168324,288885.0,25178.632901496185,100.0,100.0,100.0,100.0
3120005,삼청동,2023,79867111113,3048057,303632.0,26202.630434076527,100.11663465033836,96.20408140076583,105.10479948768541,104.06693062560792
3120005,삼청동,2024,75628232909,3003934,311243.5,25176.396321956476,94.80303040745153,94.81145236408902,107.73958495595133,99.9911171525934
3120005,삼청동,2025,71090132039,2546852,314687.25,27912.94195304635,89.11433852318706,80.38483437931222,108.93166831091956,110.85964064152063
