quarter,area_code,sales_amount,transactions,floating_population,segment,dimension,average_ticket,year
20244,3120005,4306272763,155869,60482,40대,age,27627.5126099481,2024
20251,3110091,179218987,5474,48331,40대,age,32740.041468761417,2025
20251,3120005,3228178605,101807,58205,40대,age,31708.80789140236,2025
20252,3110091,211359340,6364,46852,40대,age,33211.7127592709,2025
20252,3120005,5183083767,183172,62685,40대,age,28296.266716528728,2025
20253,3110091,198073390,4727,49504,40대,age,41902.55764755659,2025
20253,3120005,3297712564,130598,55592,40대,age,25250.86574066984,2025
20254,3110091,179043419,4251,46291,40대,age,42117.9531874853,2025
20254,3120005,3000783305,120535,62981,40대,age,24895.53494835525,2025
20221,3110091,184606187,5431,21641,50대,age,33991.19628061131,2022
20221,3120005,2902230410,91013,40657,50대,age,31888.086427213693,2022
20222,3110091,236046938,7187,22882,50대,age,32843.59788507027,2022
20222,3120005,4373280713,162111,46320,50대,age,26977.07566420539,2022
20223,3110091,217402609,5804,21233,50대,age,37457.37577532736,2022
20223,3120005,3380874310,140279,42596,50대,age,24101.072220360853,2022
20224,3110091,148379664,4669,22032,50대,age,31779.752409509532,2022
20224,3120005,4408822225,144746,46096,50대,age,30459.026328879554,2022
20231,3110091,217258214,6408,23035,50대,age,33904.21566791511,2023
20231,3120005,3184783974,117697,45510,50대,age,27059.177158296305,2023
20232,3110091,270797863,6918,24684,50대,age,39143.95244290257,2023
20232,3120005,4861133648,153799,48636,50대,age,31607.05627474821,2023
20233,3110091,258486537,6769,26333,50대,age,38186.81297089673,2023
20233,3120005,3608643958,125268,45300,50대,age,28807.388622792732,2023
20234,3110091,214176027,4929,28322,50대,age,43452.22702373707,2023
20234,3120005,3472512093,122706,47514,50대,age,28299.448217691068,2023
20241,3110091,244135261,5686,26265,50대,age,42936.204889201545,2024
20241,3120005,2993020611,102813,45160,50대,age,29111.30509760439,2024
20242,3110091,240493634,6347,29512,50대,age,37890.9144477706,2024
20242,3120005,4063325786,151321,51273,50대,age,26852.358800166534,2024
20243,3110091,206153662,5019,29291,50대,age,41074.64873480773,2024
20243,3120005,2904050247,126893,48517,50대,age,22885.81913107894,2024
20244,3110091,205740900,4653,31807,50대,age,44216.82785299807,2024
20244,3120005,3785475421,130049,51932,50대,age,29108.0701966182,2024
20251,3110091,166624277,4557,31841,50대,age,36564.46719332894,2025
20251,3120005,2586893548,88466,51166,50대,age,29241.66965839984,2025
20252,3110091,207784750,4752,30464,50대,age,43725.74705387205,2025
20252,3120005,4032350703,148066,53495,50대,age,27233.468203368768,2025
20253,3110091,336003411,3806,30702,50대,age,88282.55675249606,2025
20253,3120005,2816663333,104243,48257,50대,age,27020.167617969553,2025
20254,3110091,149978077,3547,30379,50대,age,42283.07781223569,2025
20254,3120005,3597830962,107825,52005,50대,age,33367.317060051006,2025
20221,3110091,75601379,1962,18853,60대 이상,age,38532.8129459735,2022
20221,3120005,1220769006,48424,56610,60대 이상,age,25209.999297868824,2022
20222,3110091,114853894,2717,19652,60대 이상,age,42272.32020610968,2022
20222,3120005,2905369195,97905,67626,60대 이상,age,29675.391399826363,2022
20223,3110091,104612359,1947,17051,60대 이상,age,53730.02516692347,2022
