area_code,period,confirmed_exit_industry_count,confirmed_exit_store_weight
3110078,long,0,0.0
3110078,medium,0,0.0
3110078,recent,0,0.0
3110079,long,0,0.0
3110079,medium,0,0.0
3110079,recent,0,0.0
3110080,long,0,0.0
3110080,medium,0,0.0
3110080,recent,0,0.0
3110081,long,0,0.0
3110081,medium,0,0.0
3110081,recent,0,0.0
3110082,long,0,0.0
3110082,medium,0,0.0
3110082,recent,0,0.0
3110083,long,0,0.0
3110083,medium,0,0.0
3110083,recent,0,0.0
3110084,long,0,0.0
3110084,medium,0,0.0
3110084,recent,0,0.0
3110085,long,0,0.0
3110085,medium,0,0.0
3110085,recent,0,0.0
3110086,long,0,0.0
3110086,medium,0,0.0
3110086,recent,0,0.0
3110087,long,0,0.0
3110087,medium,0,0.0
3110087,recent,0,0.0
3110088,long,0,0.0
3110088,medium,0,0.0
3110088,recent,0,0.0
3110089,long,0,0.0
3110089,medium,0,0.0
3110089,recent,0,0.0
3110090,long,0,0.0
3110090,medium,0,0.0
3110090,recent,0,0.0
3110091,long,0,0.0
3110091,medium,0,0.0
3110091,recent,0,0.0
3110092,long,0,0.0
3110092,medium,0,0.0
3110092,recent,0,0.0
3110093,long,0,0.0
3110093,medium,0,0.0
3110093,recent,0,0.0
3110094,long,0,0.0
3110094,medium,0,0.0
3110094,recent,0,0.0
3110095,long,0,0.0
3110095,medium,0,0.0
3110095,recent,0,0.0
3110096,long,0,0.0
3110096,medium,0,0.0
3110096,recent,0,0.0
3110098,long,0,0.0
3110098,medium,0,0.0
3110098,recent,0,0.0
3110099,long,0,0.0
3110099,medium,0,0.0
3110099,recent,0,0.0
3110100,long,0,0.0
3110100,medium,0,0.0
3110100,recent,0,0.0
3110101,long,0,0.0
3110101,medium,0,0.0
3110101,recent,0,0.0
3110102,long,0,0.0
3110102,medium,0,0.0
3110102,recent,0,0.0
3110103,long,0,0.0
3110103,medium,0,0.0
3110103,recent,0,0.0
3110104,long,0,0.0
3110104,medium,0,0.0
3110104,recent,0,0.0
3110105,long,0,0.0
3110105,medium,0,0.0
3110105,recent,0,0.0
3110106,long,0,0.0
3110106,medium,0,0.0
3110106,recent,0,0.0
3110107,long,0,0.0
3110107,medium,0,0.0
3110107,recent,0,0.0
3110108,long,0,0.0
3110108,medium,0,0.0
3110108,recent,0,0.0
3110109,long,1,0.027972027972027972
3110109,medium,1,0.026490066225165563
3110109,recent,1,0.028368794326241134
3110110,long,0,0.0
3110110,medium,0,0.0
3110110,recent,0,0.0
3110111,long,0,0.0
3110111,medium,0,0.0
3110111,recent,0,0.0
3110112,long,0,0.0
3110112,medium,0,0.0
3110112,recent,0,0.0
3110113,long,0,0.0
3110113,medium,0,0.0
3110113,recent,0,0.0
3110114,long,0,0.0
3110114,medium,0,0.0
3110114,recent,0,0.0
3110115,long,0,0.0
3110115,medium,0,0.0
3110115,recent,0,0.0
3110116,long,0,0.0
3110116,medium,0,0.0
3110116,recent,0,0.0
3110117,long,0,0.0
3110117,medium,0,0.0
3110117,recent,0,0.0
3110118,long,0,0.0
3110118,medium,0,0.0
3110118,recent,0,0.0
3110119,long,0,0.0
3110119,medium,0,0.0
3110119,recent,0,0.0
3110120,long,0,0.0
3110120,medium,0,0.0
3110120,recent,0,0.0
3110121,long,0,0.0
3110121,medium,0,0.0
3110121,recent,0,0.0
3110122,long,0,0.0
3110122,medium,0,0.0
3110122,recent,0,0.0
3110123,long,0,0.0
3110123,medium,0,0.0
3110123,recent,0,0.0
3110124,long,0,0.0
3110124,medium,0,0.0
3110124,recent,0,0.0
3110125,long,0,0.0
3110125,medium,0,0.0
3110125,recent,0,0.0
3110126,long,0,0.0
3110126,medium,0,0.0
3110126,recent,0,0.0
3110127,long,0,0.0
3110127,medium,0,0.0
3110127,recent,0,0.0
3110128,long,0,0.0
3110128,medium,0,0.0
3110128,recent,0,0.0
3110129,long,1,0.04040404040404041
3110129,medium,1,0.025974025974025976
3110129,recent,1,0.02591792656587473
3110130,long,0,0.0
3110130,medium,0,0.0
3110130,recent,0,0.0
3110131,long,0,0.0
3110131,medium,0,0.0
3110131,recent,0,0.0
3110132,long,0,0.0
3110132,medium,0,0.0
3110132,recent,0,0.0
3110133,long,0,0.0
3110133,medium,0,0.0
3110133,recent,0,0.0
3110134,long,0,0.0
3110134,medium,0,0.0
3110134,recent,0,0.0
3110135,long,0,0.0
3110135,medium,0,0.0
3110135,recent,0,0.0
3110136,long,0,0.0
3110136,medium,0,0.0
3110136,recent,0,0.0
3110137,long,0,0.0
3110137,medium,0,0.0
3110137,recent,0,0.0
3110138,long,0,0.0
3110138,medium,0,0.0
3110138,recent,0,0.0
3110139,long,0,0.0
3110139,medium,0,0.0
3110139,recent,0,0.0
3110140,long,0,0.0
3110140,medium,0,0.0
3110140,recent,0,0.0
3110141,long,0,0.0
3110141,medium,0,0.0
3110141,recent,0,0.0
3110142,long,0,0.0
3110142,medium,0,0.0
3110142,recent,0,0.0
3110143,long,0,0.0
3110143,medium,0,0.0
3110143,recent,0,0.0
3110144,long,0,0.0
3110144,medium,0,0.0
3110144,recent,0,0.0
3110145,long,0,0.0
3110145,medium,0,0.0
3110145,recent,0,0.0
3110146,long,0,0.0
3110146,medium,0,0.0
3110146,recent,0,0.0
3110147,long,0,0.0
3110147,medium,0,0.0
3110147,recent,0,0.0
3110148,long,0,0.0
3110148,medium,0,0.0
3110148,recent,0,0.0
3110149,long,0,0.0
3110149,medium,0,0.0
3110149,recent,0,0.0
3110150,long,0,0.0
3110150,medium,0,0.0
3110150,recent,0,0.0
3110151,long,0,0.0
3110151,medium,0,0.0
3110151,recent,0,0.0
3110152,long,0,0.0
3110152,medium,0,0.0
3110152,recent,0,0.0
3110153,long,0,0.0
3110153,medium,0,0.0
3110153,recent,0,0.0
3110154,long,0,0.0
3110154,medium,0,0.0
3110154,recent,0,0.0
3110155,long,0,0.0
3110155,medium,0,0.0
3110155,recent,0,0.0
3110156,long,0,0.0
3110156,medium,0,0.0
3110156,recent,0,0.0
3110157,long,0,0.0
3110157,medium,0,0.0
3110157,recent,0,0.0
3110158,long,0,0.0
3110158,medium,0,0.0
3110158,recent,0,0.0
3110159,long,0,0.0
3110159,medium,0,0.0
3110159,recent,0,0.0
3110160,long,0,0.0
3110160,medium,0,0.0
3110160,recent,0,0.0
3110161,long,0,0.0
3110161,medium,0,0.0
3110161,recent,0,0.0
3110162,long,0,0.0
3110162,medium,0,0.0
3110162,recent,0,0.0
3110163,long,0,0.0
3110163,medium,0,0.0
3110163,recent,0,0.0
3110164,long,0,0.0
3110164,medium,0,0.0
3110164,recent,0,0.0
3110165,long,0,0.0
3110165,medium,0,0.0
3110165,recent,0,0.0
3110166,long,0,0.0
3110166,medium,0,0.0
3110166,recent,0,0.0
3110167,long,0,0.0
3110167,medium,0,0.0
3110167,recent,0,0.0
3110168,long,0,0.0
3110168,medium,0,0.0
3110168,recent,0,0.0
3110169,long,0,0.0
3110169,medium,0,0.0
3110169,recent,0,0.0
3110170,long,0,0.0
3110170,medium,0,0.0
3110170,recent,0,0.0
3110171,long,0,0.0
3110171,medium,0,0.0
3110171,recent,0,0.0
3110172,long,1,0.038461538461538464
3110172,medium,1,0.029484029484029485
3110172,recent,1,0.028235294117647056
3110173,long,0,0.0
3110173,medium,0,0.0
3110173,recent,0,0.0
3110174,long,0,0.0
3110174,medium,0,0.0
3110174,recent,0,0.0
3110175,long,0,0.0
3110175,medium,0,0.0
3110175,recent,0,0.0
3110176,long,0,0.0
3110176,medium,0,0.0
3110176,recent,0,0.0
3110177,long,0,0.0
3110177,medium,0,0.0
3110177,recent,0,0.0
3110178,long,0,0.0
3110178,medium,0,0.0
3110178,recent,0,0.0
3110179,long,0,0.0
3110179,medium,0,0.0
3110179,recent,0,0.0
3110180,long,0,0.0
3110180,medium,0,0.0
3110180,recent,0,0.0
3110181,long,0,0.0
3110181,medium,0,0.0
3110181,recent,0,0.0
3110182,long,0,0.0
3110182,medium,0,0.0
3110182,recent,0,0.0
3110183,long,0,0.0
3110183,medium,0,0.0
3110183,recent,0,0.0
3110184,long,0,0.0
3110184,medium,0,0.0
3110184,recent,0,0.0
3110185,long,0,0.0
3110185,medium,0,0.0
3110185,recent,0,0.0
3110186,long,0,0.0
3110186,medium,0,0.0
3110186,recent,0,0.0
3110187,long,0,0.0
3110187,medium,0,0.0
3110187,recent,0,0.0
3110188,long,0,0.0
3110188,medium,0,0.0
3110188,recent,0,0.0
3110189,long,0,0.0
3110189,medium,0,0.0
3110189,recent,0,0.0
3110190,long,0,0.0
3110190,medium,0,0.0
3110190,recent,0,0.0
3110191,long,0,0.0
3110191,medium,0,0.0
3110191,recent,0,0.0
3110192,long,0,0.0
3110192,medium,0,0.0
3110192,recent,0,0.0
3110193,long,0,0.0
3110193,medium,0,0.0
3110193,recent,0,0.0
3110194,long,0,0.0
3110194,medium,0,0.0
3110194,recent,0,0.0
3110195,long,0,0.0
3110195,medium,0,0.0
3110195,recent,0,0.0
3110196,long,0,0.0
3110196,medium,0,0.0
3110196,recent,0,0.0
3110197,long,0,0.0
3110197,medium,0,0.0
3110197,recent,0,0.0
3110198,long,0,0.0
3110198,medium,0,0.0
3110198,recent,0,0.0
3110199,long,0,0.0
3110199,medium,0,0.0
3110199,recent,0,0.0
3110200,long,0,0.0
3110200,medium,0,0.0
3110200,recent,0,0.0
3110201,long,0,0.0
3110201,medium,0,0.0
3110201,recent,0,0.0
3110202,long,0,0.0
3110202,medium,0,0.0
3110202,recent,0,0.0
3110203,long,1,0.046511627906976744
3110203,medium,0,0.0
3110203,recent,0,0.0
3110204,long,0,0.0
3110204,medium,0,0.0
3110204,recent,0,0.0
3110205,long,0,0.0
3110205,medium,0,0.0
3110205,recent,0,0.0
3110206,long,0,0.0
3110206,medium,0,0.0
3110206,recent,0,0.0
3110207,long,0,0.0
3110207,medium,0,0.0
3110207,recent,0,0.0
3110208,long,0,0.0
3110208,medium,0,0.0
3110208,recent,0,0.0
3110209,long,0,0.0
3110209,medium,0,0.0
3110209,recent,0,0.0
3110210,long,0,0.0
3110210,medium,0,0.0
3110210,recent,0,0.0
3110211,long,1,0.03804347826086957
3110211,medium,1,0.044642857142857144
3110211,recent,1,0.03333333333333333
3110212,long,0,0.0
3110212,medium,0,0.0
3110212,recent,0,0.0
3110213,long,0,0.0
3110213,medium,0,0.0
3110213,recent,0,0.0
3110214,long,0,0.0
3110214,medium,0,0.0
3110214,recent,0,0.0
3110215,long,0,0.0
3110215,medium,0,0.0
3110215,recent,0,0.0
3110216,long,0,0.0
3110216,medium,0,0.0
3110216,recent,0,0.0
3110217,long,0,0.0
3110217,medium,0,0.0
3110217,recent,0,0.0
3110218,long,1,0.04081632653061224
3110218,medium,1,0.0547945205479452
3110218,recent,1,0.04784688995215311
3110219,long,0,0.0
3110219,medium,0,0.0
3110219,recent,0,0.0
3110220,long,0,0.0
3110220,medium,0,0.0
3110220,recent,0,0.0
3110221,long,0,0.0
3110221,medium,0,0.0
